Nombre,Departamento,Asignaturas,Horario de Tutorías,URL
Nombre Apellidos,Departamento,No disponible,No disponible,N/A
Francisco Javier Abad Ortega,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Civil (Plan 2023): Fundamentos de Informática; Grado en Ingeniería Informática: Metodología de la Programación; Grado en Matemáticas: Informática II,Primer semestreDíaHorarioLugarMiércoles9:30 - 13:30D68-4P (Etsiccp)Miércoles18:30 - 20:30D68-4P (Etsiccp)Segundo semestreDíaHorarioLugarJueves9:30 - 12:30D20 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-javier-abad-ortega
Silvia Acid Carrillo,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Información y Documentación: Fundamentos de la Programación; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Metodología de la Programación; Grado en Ingeniería Informática y Matemáticas: Metodología de la Programación,Primer semestreDíaHorarioLugarLunes11:30 - 13:30D22 (Etsiit)Lunes16:00 - 18:00D22 (Etsiit)Martes11:30 - 13:30D22 (Etsiit)Segundo semestreDíaHorarioLugarLunes18:00 - 20:00Bo (Fcyd)Martes16:00 - 19:00D22 (Etsiit)Miércoles13:30 - 14:30D22 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/silvia-acid-carrillo
Óscar Ramón Adamuz Hinojosa,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Desarrollo de Aplicaciones en Red (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Diseño y Dimensionado de Redes (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Infraestructuras y Redes de Comunicación; Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Conmutación; Grado en Ingeniería de Tecnologías de Telecomunicación: Transmisión de Datos y Redes de Computadores,DíaHorarioLugarLunes14:30 - 17:30Desp. 0.1 Ed. Aux. EtsiitMartes8:30 - 11:30Desp. 0.1 Ed. Aux. Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/oscar-ramon-adamuz-hinojosa
Ángel Luis Agote Martín,Departamento de Organización de Empresas II,"Grado en Administración y Dirección de Empresas y Derecho: Fundamentos de Dirección y Administración de Empresas; Grado en Edificación: Economía Aplicada a la Empresa; Grado en Edificación y Administración y Dirección de Empresas: Economía Aplicada a la Empresa; Grado en Ingeniería de Tecnologías de Telecomunicación: Ingeniería, Empresa y Sociedad",DíaHorarioLugarMartes8:00 - 10:30Ciencias Empresariales Desp B224Viernes8:00 - 9:30Esc Informatica Desp 15Viernes11:30 - 13:30Esc Informatica Desp 15,https://etsiit.ugr.es/la-escuela/directorio-personal/angel-luis-agote-martin
Javier Aguilera Caracuel,Departamento de Organización de Empresas II,Grado en Administración y Dirección de Empresas: Dirección de Recursos Humanos I; Grado en Edificación y Administración y Dirección de Empresas: Dirección de Recursos Humanos I; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Dirección de Recursos Humanos I; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Dirección de Recursos Humanos I,Primer semestreDíaHorarioLugarMartes9:00 - 15:00Desp B214 Facultad CceeSegundo semestreDíaHorarioLugarLunes9:30 - 12:30Desp B214 Facultad CceeViernes9:30 - 12:30Desp B214 Facultad Ccee,https://etsiit.ugr.es/la-escuela/directorio-personal/javier-aguilera-caracuel
Ignacio Aguilera Martos,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Estructura de Datos; Grado en Ingeniería Informática: Estructura de Datos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/ignacio-aguilera-martos
Eugenio Aguirre Molina,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Información y Documentación: Sistemas Informáticos; Grado en Ingeniería de Tecnologías de Telecomunicación: Fundamentos de Programación,Primer semestreDíaHorarioLugarLunes10:00 - 11:00Bo (Fcyd)Martes10:00 - 12:00D30 (Etsiit)Jueves10:00 - 12:00D30 (Etsiit)Viernes10:00 - 11:00Bo (Fcyd)Segundo semestreDíaHorarioLugarMartes10:00 - 13:00D30 (Etsiit)Jueves10:00 - 13:00D30 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/eugenio-aguirre-molina
Jerónimo Alaminos Prats,Departamento de Análisis Matemático,Grado en Ingeniería Informática: Cálculo,Primer semestreDíaHorarioLugarLunes10:30 - 11:30EtsiitMartes9:30 - 11:30EtsiitMartes16:30 - 17:30EtsiitMiércoles16:30 - 18:30EtsiitSegundo semestreDíaHorarioLugarLunes9:00 - 11:00Facultad de CienciasMartes9:00 - 11:00Facultad de CienciasMiércoles18:30 - 19:30Facultad de CienciasJueves16:30 - 17:30Facultad de Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/jeronimo-alaminos-prats
Laura Alcaide Muñoz,Departamento de Economía Financiera y Contabilidad,Grado en Edificación y Administración y Dirección de Empresas: Contabilidad Financiera I; Grado en Finanzas y Contabilidad: Contabilidad General; Grado en Finanzas y Contabilidad: Introducción a las Operaciones Financieras; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Contabilidad Financiera I; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Contabilidad Financiera I,Primer semestreDíaHorarioLugarLunes12:30 - 14:30B 034Martes8:30 - 10:30B 034Miércoles12:30 - 14:30B 034Segundo semestreDíaHorarioLugarMiércoles8:30 - 10:30B 034Jueves8:30 - 10:30B 034Jueves12:30 - 14:30B 034,https://etsiit.ugr.es/la-escuela/directorio-personal/laura-alcaide-munoz
Sergio Alonso Burgos,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación y Diseño Orientado a Objetos,Primer semestreDíaHorarioLugarMartes10:00 - 13:00Etsiit 3ª Planta Despacho 22Jueves10:00 - 13:00Etsiit 3ª Planta Despacho 22Segundo semestreDíaHorarioLugarMartes10:00 - 13:00Etsiit 3ª Planta Despacho 22Jueves10:00 - 13:00Etsiit 3ª Planta Despacho 22,https://etsiit.ugr.es/la-escuela/directorio-personal/sergio-alonso-burgos
Eusebio Naif Al-Soliman Fuentes,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Física: Programación; Grado en Ingeniería Informática: Arquitectura de Computadores; Grado en Ingeniería Informática: Ingeniería de Servidores,"Primer semestreDíaHorarioLugarMiércoles9:30 - 13:30Despacho 1.4, Edif. Auxiliar, EtsiitMiércoles15:30 - 17:30Despacho 1.4, Edif. Auxiliar, EtsiitSegundo semestreDíaHorarioLugarMartes9:30 - 11:30Despacho 1.4, Edif. Auxiliar, EtsiitMartes15:30 - 17:30Despacho 1.4, Edif. Auxiliar, EtsiitJueves15:30 - 17:30Despacho 1.4, Edif. Auxiliar, Etsiit",https://etsiit.ugr.es/la-escuela/directorio-personal/eusebio-naif-al-soliman-fuentes
Ignacio Álvarez Illán,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Teoría de la Comunicación,DíaHorarioLugarLunes10:00 - 13:00Desp. 1.13 Edf. Auxiliar EtsiitMiércoles10:00 - 13:00Desp. 1.13 Edf. Auxiliar Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/ignacio-alvarez-illan
Isaac Álvarez Ruiz,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Comunicaciones I; Grado en Ingeniería de Tecnologías de Telecomunicación: Comunicaciones Inalámbricas (Especialidad Sistemas de Telecomunicación); Grado en Ingeniería de Tecnologías de Telecomunicación: Comunicaciones Inalámbricas (Optativa Especialidad Sistemas de Telecomunicación),DíaHorarioLugarLunes9:30 - 13:30Desp. 2.17 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/isaac-alvarez-ruiz
Pablo José Ameigeiras Gutiérrez,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Conmutación,Primer semestreDíaHorarioLugarMartes9:30 - 11:30Desp. 2.19 EtsiitMartes15:30 - 17:30Desp. 2.19 EtsiitMiércoles10:30 - 13:30Desp. 2.19 EtsiitSegundo semestreDíaHorarioLugarMartes11:30 - 13:30Desp. 2.19 EtsiitMiércoles11:30 - 13:30Desp. 2.19 EtsiitMiércoles15:30 - 17:30Desp. 2.19 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/pablo-jose-ameigeiras-gutierrez
Mancia Anguita López,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática: Arquitectura de Computadores; Grado en Ingeniería Informática y Matemáticas: Arquitectura de Computadores,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/mancia-anguita-lopez
Francisco de P. Araque Cuenca,Departamento de Lenguajes y Sistemas Informáticos,Grado en Finanzas y Contabilidad: Informática Aplicada a la Gestión Empresarial; Grado en Ingeniería Informática: Fundamentos del Software,Primer semestreDíaHorarioLugarMiércoles19:30 - 20:30Ddespacho 7 Etsiit 3ª PlantaJueves10:30 - 13:30Ddespacho 7 Etsiit 3ª PlantaViernes10:30 - 11:30Despacho 7 Etsiit 3ª PlantaViernes13:30 - 14:30Despacho 7 Etsiit 3ª PlantaSegundo semestreDíaHorarioLugarLunes19:30 - 21:30(Fccee o Aulas Informática)Martes17:30 - 19:30(Fccee o Aulas Informática)Miércoles10:30 - 12:30Despacho 7 Etsiit 3ª Planta,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-p-araque-cuenca
David Arcoya Álvarez,Departamento de Análisis Matemático,Grado en Ingeniería Informática y Matemáticas: Análisis Funcional; Grado en Matemáticas: Variable Compleja I,Primer semestreDíaHorarioLugarMiércoles10:00 - 13:00Facultad de CienciasJueves10:00 - 13:00Facultad de CienciasSegundo semestreDíaHorarioLugarLunes10:30 - 13:30Facultad de CienciasMiércoles10:30 - 12:00Facultad de CienciasViernes12:00 - 13:30Facultad de Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/david-arcoya-alvarez
Germán Arroyo Moreno,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Informática Gráfica; Grado en Ingeniería Informática: Sistemas Operativos,Primer semestreDíaHorarioLugarJueves8:30 - 11:30Etsiit Desp. 31 3ª PlantaViernes8:30 - 11:30Etsiit Desp. 31 3ª PlantaSegundo semestreDíaHorarioLugarJueves8:30 - 11:30Etsiit Desp. 31 3ª PlantaViernes8:30 - 11:30Etsiit Desp. 31 3ª Planta,https://etsiit.ugr.es/la-escuela/directorio-personal/german-arroyo-moreno
Luis Gonzaga Baca Ruiz,Departamento de Lenguajes y Sistemas Informáticos,Grado en Bellas Artes: Creación Multimedia Interactiva; Grado en Ingeniería Informática: Sistemas Concurrentes y Distribuidos; Grado en Ingeniería Informática y Matemáticas: Sistemas Concurrentes y Distribuidos,"Primer semestreDíaHorarioLugarMartes9:00 - 13:00Etsiit, Planta 3 - Despacho 30Miércoles9:30 - 12:00Etsiit, Planta 3 - Despacho 30Segundo semestreDíaHorarioLugarLunes11:00 - 13:00Etsiit, Planta 3 - Despacho 30Martes11:00 - 13:00Etsiit, Planta 3 - Despacho 30Miércoles9:30 - 11:30Etsiit, Planta 3 - Despacho 30",https://etsiit.ugr.es/la-escuela/directorio-personal/luis-gonzaga-baca-ruiz
Antonio Bautista Bailón Morillas,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ciencias Ambientales: Informática Aplicada al Medio Ambiente; Grado en Ingeniería Informática: Computación Ubicua e Inteligencia Ambiental (Especialidadtecnologías de la Información); Grado en Ingeniería Informática: Computación Ubicua e Inteligencia .Ambiental (Optativa Especialida Tecnologías de la Información); Grado en Ingeniería Informática: Programación Lúdica (Especialidad Computación y Sistemas Inteligentes),Primer semestreDíaHorarioLugarLunes10:30 - 13:30M5 (Fciencia)Miércoles10:30 - 13:30M5 (Fciencia)Segundo semestreDíaHorarioLugarMartes8:00 - 9:30Nd (Etsiit)Martes11:30 - 13:30Nd (Etsiit)Miércoles8:00 - 9:30M5 (Fciencia)Miércoles10:30 - 11:30M5 (Fciencia),https://etsiit.ugr.es/la-escuela/directorio-personal/antonio-bautista-bailon-morillas
Miguel Ángel Balmaseda Márquez,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas Lineales,DíaHorarioLugarLunes8:00 - 12:00Desp. D1-5 CiticMiércoles8:00 - 12:00Desp. D1-5 CiticJueves8:00 - 12:00Desp. D1-5 Citic,https://etsiit.ugr.es/la-escuela/directorio-personal/miguel-angel-balmaseda-marquez
Jesús Banqueri Ozáez,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Análisis de Circuitos; Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica Analógica,"Primer semestreDíaHorarioLugarLunes16:30 - 19:30Etsiit, Despacho 2.8Viernes11:30 - 14:30Etsiit, Despacho 2.8Segundo semestreDíaHorarioLugarLunes16:30 - 18:30Etsiit, Despacho 2.8Martes8:30 - 10:30Etsiit, Despacho 2.8Miércoles8:30 - 10:30Etsiit, Despacho 2.8",https://etsiit.ugr.es/la-escuela/directorio-personal/jesus-banqueri-ozaez
Oresti Baños Legrán,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Electrónica Industrial: Informática y Comunicaciones Industriales; Grado en Ingeniería Electrónica Industrial: Ingeniería de Sistemas; Grado en Ingeniería Informática: Ingeniería de Servidores,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/oresti-banos-legran
Francisco Barranco Expósito,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas Electrónicos Digitales; Grado en Ingeniería Informática: Estructura de Computadores,Primer semestreDíaHorarioLugarMiércoles17:30 - 20:30EtsiitJueves10:00 - 13:00EtsiitSegundo semestreDíaHorarioLugarMiércoles17:30 - 20:30EtsiitJueves10:00 - 13:00Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-barranco-exposito
Kawtar Benghazi Akhlaki Sekkate,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Fundamentos del Software,Primer semestreDíaHorarioLugarMartes9:30 - 13:30Etsiit Desp. 18 3ª PlantaMiércoles9:30 - 13:30Etsiit Desp. 18 3ª PlantaSegundo semestreDíaHorarioLugarMartes9:30 - 13:30Etsiit Desp. 18 3ª PlantaMiércoles9:30 - 13:30Etsiit Desp. 18 3ª Planta,https://etsiit.ugr.es/la-escuela/directorio-personal/kawtar-benghazi-akhlaki-sekkate
María del Carmen Benítez Ortúzar,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Tecnologías del Habla,DíaHorarioLugarMartes10:00 - 13:00Desp. 2.6 EtsiitJueves10:00 - 13:00Desp. 2.6 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-del-carmen-benitez-ortuzar
José Manuel Benítez Sánchez,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Enfermería: TIC en Cuidados de Salud y Metodología de la Investigación; Grado en Ingeniería Informática: Programación Web (Optativa Especialidad Sistemas de Información); Grado en Ingeniería Informática: Programación Web (Especialidad Sistemas de Información),DíaHorarioLugarMartes17:00 - 19:00D31 (Etsiit)Jueves10:30 - 13:30D31 (Etsiit)Jueves17:30 - 18:30D31 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/jose-manuel-benitez-sanchez
Christoph Norbert Bergmeir,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Fundamentos de Bases de Datos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/christoph-norbert-bergmeir
María del Campo Bermúdez Edo,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación y Diseño Orientado a Objetos,Primer semestreDíaHorarioLugarMiércoles10:30 - 13:30Etsiit 3ª P Despacho 29Segundo semestreDíaHorarioLugarMartes10:30 - 13:30Etsiit 3ª P Despacho 29Miércoles10:30 - 13:30Etsiit 3ª P Despacho 29,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-del-campo-bermudez-edo
Sandro Berni Ríos,Departamento de Organización de Empresas II,Grado en Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Edificación y Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I,Primer semestreDíaHorarioLugarLunes8:30 - 10:30Desp B226 Facultad CceeMartes8:30 - 10:30Desp B226 Facultad CceeMiércoles10:30 - 12:30C-121 F. EmpresarialesMiércoles19:30 - 20:30C-121 F. EmpresarialesJueves10:30 - 12:30Desp B226 Facultad CceeJueves19:30 - 20:30C-121 F. EmpresarialesViernes10:30 - 12:30C-121 F. EmpresarialesSegundo semestreDíaHorarioLugarLunes9:30 - 12:30C-125 F. EmpresarialesMartes9:30 - 12:30C-125 F. Empresariales,https://etsiit.ugr.es/la-escuela/directorio-personal/sandro-berni-rios
Fernando Berzal Galiano,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Algorítmica; Grado en Ingeniería Informática: Modelos Avanzados de Computación  (Especialidad Computación y Sistemas Inteligentes),Primer semestreDíaHorarioLugarLunes16:00 - 18:00D17 (Etsiit)Lunes20:00 - 21:00D17 (Etsiit)Jueves18:00 - 21:00D17 (Etsiit)Segundo semestreDíaHorarioLugarMiércoles16:30 - 19:30D17 (Etsiit)Jueves17:30 - 19:30D7 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/fernando-berzal-galiano
Ignacio José Blanco Medina,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Administración de Bases de Datos (Especialidad Sistemas de Información); Grado en Ingeniería Informática: Administración de Bases de Datos (Optativa Especialidad Sistemas de Información); Grado en Ingeniería Informática: Diseño y Desarrollo de Sistemas de Información,Primer semestreDíaHorarioLugarMartes10:00 - 13:00D27 (Etsiit)Jueves10:00 - 13:00D27 (Etsiit)Segundo semestreDíaHorarioLugarMiércoles10:00 - 13:00D27 (Etsiit)Jueves10:00 - 13:00D27 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/ignacio-jose-blanco-medina
Daniel Bolaños Martínez,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación Gráfica de Videojuegos (Especialidad Ingeniería del Software); Grado en Ingeniería Informática: Sistemas Operativos,Primer semestreDíaHorarioLugarLunes8:30 - 11:30Edificio Auxiliar Etsiit Despacho Común 1.4Martes8:30 - 11:30Edificio Auxiliar Etsiit Despacho Común 1.4Segundo semestreDíaHorarioLugarLunes9:00 - 12:00Edificio Auxiliar Etsiit Despacho Común 1.4Martes9:00 - 12:00Edificio Auxiliar Etsiit Despacho Común 1.4,https://etsiit.ugr.es/la-escuela/directorio-personal/daniel-bolanos-martinez
Peter Alexander Bouvrie Morales,Departamento de Estadística e Investigación Operativa,Grado en Farmacia: Biometría; Grado en Información y Documentación: Estadística; Grado en Ingeniería de Tecnologías de Telecomunicación: Estadística y Optimización; Grado en Marketing e Investigación de Mercados: Técnicas Estadísticas Multivariantes,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/peter-alexander-bouvrie-morales
Juan Antonio Bravo Aranda,Departamento de Física Aplicada,Grado en Ciencias Ambientales: Física; Grado en Ingeniería de Tecnologías de Telecomunicación: Física Aplicada a las Telecomunicaciones; Grado en Ingeniería de Tecnologías de Telecomunicación: Fundamentos Físicos de la Ingeniería,Primer semestreDíaHorarioLugarLunes12:00 - 14:002ªplanta IistaMartes12:00 - 14:002ªplanta IistaSegundo semestreDíaHorarioLugarLunes12:00 - 14:002ªplanta IistaMartes12:00 - 14:002ªplanta Iista,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-antonio-bravo-aranda
Juan Carlos Cabello Piñar,Departamento de Análisis Matemático,Grado en Ingeniería de Tecnologías de Telecomunicación: Complementos de Análisis Matemático; Grado en Matemáticas: Cálculo I; Grado en Matemáticas: Cálculo II; Grado en Matemáticas y Física: Cálculo I; Grado en Matemáticas y Física: Cálculo II,DíaHorarioLugarLunes10:00 - 11:00F. CienciasLunes12:00 - 13:00F.CienciasMartes10:00 - 11:00F.CienciasMartes12:00 - 13:00F. CienciasMiércoles10:00 - 11:00F. CienciasMiércoles12:00 - 13:00F. Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-carlos-cabello-pinar
Marcelino José Cabrera Cuevas,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Nuevos Paradigmas de Interacción (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática: Nuevos Paradigmas de Interacción (Optativa Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática: Programación de Dispositivos Móviles (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática y Matemáticas: Nuevos Paradigmas de Interacción; Grado en Traducción e Interpretación: Herramientas Informáticas para Traductores e Intérpretes,Primer semestreDíaHorarioLugarMiércoles11:00 - 14:00Despacho 2 F. Traducción e Interpretación Edificio BuensucesoJueves9:00 - 10:30Etsiit 3ª Planta Despacho 25Jueves12:30 - 14:00Etsiit 3ª Planta Despacho 25Segundo semestreDíaHorarioLugarLunes10:30 - 13:30Etsiit 3ª Planta Despacho 25Martes10:30 - 13:30Etsiit 3ª Planta Despacho 25,https://etsiit.ugr.es/la-escuela/directorio-personal/marcelino-jose-cabrera-cuevas
Francisco Javier Cabrerizo Lorite,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Algorítmica; Grado en Ingeniería Civil (Plan 2023): Fundamentos de Informática; Grado en Ingeniería Informática y Matemáticas: Algorítmica,Primer semestreDíaHorarioLugarMartes8:30 - 10:30D68-4P (Etsiccp)Martes12:30 - 13:30D68-4P (Etsiccp)Martes15:30 - 18:30D68-4P (Etsiccp)Segundo semestreDíaHorarioLugarJueves10:30 - 13:30D16 (Etsiit)Viernes10:30 - 13:30D16 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-javier-cabrerizo-lorite
María José Cáceres Granados,Departamento de Matemática Aplicada,Grado en Ingeniería Informática y Matemáticas: Modelos Matemáticos I; Grado en Matemáticas: Ecuaciones Diferenciales II,DíaHorarioLugarMartes12:00 - 15:00Miércoles12:00 - 15:00,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-jose-caceres-granados
Julia Caleya Sánchez,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería Informática: Fundamentos de Redes; Grado en Ingeniería Informática y Matemáticas: Fundamentos de Redes,Primer semestreDíaHorarioLugarMiércoles11:00 - 14:00Desp. D1.7 CiticSegundo semestreDíaHorarioLugarMiércoles11:00 - 14:00Desp. D1.7 Citic,https://etsiit.ugr.es/la-escuela/directorio-personal/julia-caleya-sanchez
Zoraida Callejas Carrión,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación y Diseño Orientado a Objetos,Primer semestreDíaHorarioLugarMartes10:00 - 13:00Etsiit Desp. 23 3ª PlantaJueves10:00 - 13:00Etsiit Desp. 23 3ª PlantaSegundo semestreDíaHorarioLugarMartes10:00 - 13:00Etsiit Desp. 23 3ª PlantaJueves10:00 - 13:00Etsiit Desp. 23 3ª Planta,https://etsiit.ugr.es/la-escuela/directorio-personal/zoraida-callejas-carrion
Juan Calvo Yagüe,Departamento de Matemática Aplicada,Grado en Ingeniería Informática y Matemáticas: Modelos Matemáticos II; Grado en Matemáticas: Modelos Matemáticos II; Grado en Matemáticas y Física: Modelos Matemáticos II; Grado en Química: Matemáticas II,Primer semestreDíaHorarioLugarMiércoles10:00 - 13:00Con Petición de Cita Previa por EmailJueves10:00 - 13:00Con Petición de Cita Previa por EmailSegundo semestreDíaHorarioLugarLunes10:00 - 11:00Con Petición de Cita Previa por EmailLunes12:00 - 13:00Con Petición de Cita Previa por EmailMartes12:00 - 13:00Con Petición de Cita Previa por EmailMiércoles11:00 - 13:00Con Petición de Cita Previa por EmailJueves10:00 - 11:00Con Petición de Cita Previa por Email,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-calvo-yague
José Camacho Páez,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Diseño y Dimensionado de Redes (Optativa Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Diseño y Dimensionado de Redes (Especialidad Telemática),DíaHorarioLugarMartes11:30 - 13:30Desp. 2.18 EtsiitMiércoles11:30 - 13:30Desp. 2.18 EtsiitJueves11:30 - 13:30Desp. 2.18 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-camacho-paez
Luis Miguel Campos Ibáñez,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Algorítmica; Grado en Ingeniería Informática: Simulación de Sistemas (Especialidad Computación y Sistemas Inteligentes),Primer semestreDíaHorarioLugarMartes9:30 - 11:30D10 (Etsiit)Martes13:30 - 14:30D10 (Etsiit)Miércoles9:30 - 11:30D10 (Etsiit)Miércoles13:30 - 14:30D10 (Etsiit)Segundo semestreDíaHorarioLugarMartes9:30 - 11:30D10 (Etsiit)Martes12:30 - 13:30D10 (Etsiit)Miércoles9:30 - 10:30D10 (Etsiit)Miércoles11:30 - 12:30D10 (Etsiit)Miércoles13:30 - 14:30D10 8Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/luis-miguel-campos-ibanez
Carlos Cano Gutiérrez,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Bioquímica: Informática Aplicada a la Bioquímica; Grado en Ingeniería Informática: Gestión de Recursos Digitales (Especialidad Sistemas de Información),Primer semestreDíaHorarioLugarMartes10:00 - 13:00D16 (Etsiit)Jueves10:00 - 13:00D16 (Etsiit)Segundo semestreDíaHorarioLugarLunes10:00 - 13:00D16 (Etsiit)Martes10:00 - 13:00D16 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/carlos-cano-gutierrez
José Enrique Cano Ocaña,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería de Tecnologías de Telecomunicación: Fundamentos de Programación; Grado en Ingeniería Informática: Fundamentos de Programación,Primer semestreDíaHorarioLugarLunes11:30 - 14:30Sop (Etsiit)Martes11:30 - 14:30Sop (Etsiit)Segundo semestreDíaHorarioLugarMartes8:00 - 14:00Sop (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/jose-enrique-cano-ocana
Andrés Cano Utrera,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería de Tecnologías de Telecomunicación: Complementos de Programación (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Seguridad en Redes de Comunicación (Optativa Especialidad Telemática; Grado en Ingeniería Informática y Matemáticas: Metodología de la Programación,Primer semestreDíaHorarioLugarLunes10:30 - 13:30D25 (Etsiit)Miércoles16:30 - 19:30D25 (Etsiit)Segundo semestreDíaHorarioLugarLunes10:30 - 13:30D25 (Etsiit)Miércoles16:30 - 19:30D25 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/andres-cano-utrera
Antonio Cantudo Gómez,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Análisis de Circuitos; Grado en Ingeniería de Tecnologías de Telecomunicación: Componentes y Circuitos Electrónicos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/antonio-cantudo-gomez
