Nombre,Departamento,Asignaturas,Horario de Tutorías,URL
Juan Elías Galeote Cazorla,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería Informática: Redes Multiservicio (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Transmisión de Datos y Redes de Computadores (Especialidadtecnologías de la Información),DíaHorarioLugarMiércoles9:00 - 11:00Desp. D1.5 CiticMiércoles15:00 - 17:00Desp. D1.5 Citic,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-elias-galeote-cazorla
José Luis Gámez Ruiz,Departamento de Análisis Matemático,Grado en Ingeniería Informática y Matemáticas: Cálculo I; Grado en Ingeniería Informática y Matemáticas: Cálculo II; Grado en Matemáticas: Ecuaciones en Derivadas Parciales,Primer semestreDíaHorarioLugarLunes9:00 - 12:00CienciasMartes9:00 - 12:00CienciasSegundo semestreDíaHorarioLugarLunes11:00 - 14:00CienciasMartes11:00 - 14:00Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-luis-gamez-ruiz
Francisco Jesús Gámiz Pérez,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Circuitos Integrados para Comunicaciones (Optativa Especialidad Sistemas Electrónicos); Grado en Ingeniería de Tecnologías de Telecomunicación: Circuitos Integrados para Comunicaciones (Especialidad Sistemas Electrónicos); Grado en Ingeniería Electrónica Industrial: Dispositivos Electrónicos y Fotónicos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-jesus-gamiz-perez
María Isabel García Arenas,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática y Administración y Dirección de Empresas: Arquitectura de Computadores; Grado en Ingeniería Informática: Arquitectura de Computadores; Grado en Ingeniería Informática: Arquitectura y Computación de Altas Prestaciones (Optativa Especialidad Ingeniería de Computadores); Grado en Ingeniería Informática: Arquitectura y Computación de Altas Prestaciones (Especialidad Ingeniería de Computadores); Grado en Ingeniería Informática y Matemáticas: Arquitectura y Computación de Altas Prestaciones,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-isabel-garcia-arenas
Julia García Cabello,Departamento de Matemática Aplicada,Grado en Economía: Matemáticas; Grado en Economía (Bilingüe): Matemáticas; Grado en Edificación y Administración y Dirección de Empresas: Matemáticas Empresariales; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Matemáticas Empresariales; Grado en Ingeniería Electrónica Industrial: Matemáticas III,Primer semestreDíaHorarioLugarLunes8:00 - 8:30Petición de Tutoría Presencial por EmailLunes12:30 - 14:30Petición de Tutoría Presencial por EmailMartes8:00 - 8:30Petición de Tutoría Presencial por EmailMartes12:30 - 14:30Petición de Tutoría Presencial por EmailMiércoles8:00 - 8:30Petición de Tutoría Presencial por EmailJueves8:00 - 8:30Petición de Tutoría Presencial por EmailSegundo semestreDíaHorarioLugarLunes8:00 - 13:00Petición de Tutoría Presencial por EmailMartes8:00 - 8:30Petición de Tutoría Presencial por EmailMiércoles8:00 - 8:30Petición de Tutoría Presencial por Email,https://etsiit.ugr.es/la-escuela/directorio-personal/julia-garcia-cabello
Pedro García Fernández,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Análisis de Circuitos; Grado en Ingeniería Electrónica Industrial: Prototipado y Test Electrónicos; Grado en Ingeniería Informática: Circuitos Integrados e Impresos (Especialidad Ingeniería de Computadores),No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/pedro-garcia-fernandez
Diego Jesús García Gil,Departamento de Lenguajes y Sistemas Informáticos,Grado en Conservación y Restauración de Bienes Culturales: Técnicas Digitales de Documentación; Grado en Ingeniería Informática: Fundamentos de Ingeniería del Software; Grado en Traducción e Interpretación: Herramientas Informáticas para Traductores e Intérpretes,"Primer semestreDíaHorarioLugarLunes16:00 - 18:00Edificio Buensuceso, Despacho LsiMartes10:00 - 12:00Despacho 1.2, Edificio Auxiliar Etsiit (Cita Previa)Jueves9:00 - 11:00Edificio Buensuceso, Despacho LsiSegundo semestreDíaHorarioLugarMartes9:00 - 11:30Despacho 1.2, Edificio Auxiliar Etsiit (Cita Previa)Miércoles11:30 - 13:30Despacho 1.2, Edificio Auxiliar Etsiit (Cita Previa)Jueves11:30 - 13:00Despacho 1.2, Edificio Auxiliar Etsiit (Cita Previa)",https://etsiit.ugr.es/la-escuela/directorio-personal/diego-jesus-garcia-gil
María Luz García Martínez,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Comunicaciones Inalámbricas (Optativa Especialidad Sistemas de Telecomunicación); Grado en Ingeniería de Tecnologías de Telecomunicación: Comunicaciones Inalámbricas (Especialidad Sistemas de Telecomunicación); Grado en Ingeniería de Tecnologías de Telecomunicación: Teoría de la Comunicación,DíaHorarioLugarLunes11:30 - 13:30Desp. 2.23 EtsiitMiércoles11:30 - 13:30Desp. 2.23 EtsiitViernes11:30 - 13:30Desp. 2.23 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-luz-garcia-martinez
Jesús García Miranda,Departamento de Álgebra,Grado en Ingeniería Informática: Álgebra Lineal y Estructuras Matemáticas; Grado en Ingeniería Informática: Criptografía y Computación (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática: Lógica y Métodos Discretos; Grado en Ingeniería Informática y Matemáticas: Criptografía y Computación,Primer semestreDíaHorarioLugarLunes17:30 - 19:30Etsiit - Despacho DirecciónMartes11:30 - 13:30Etsiit - Despacho DirecciónMiércoles17:30 - 19:30Etsiit - Despacho DirecciónSegundo semestreDíaHorarioLugarLunes17:30 - 19:30Etsiit - Despacho DirecciónMartes11:30 - 13:30Etsiit - Despacho DirecciónMiércoles17:30 - 19:30Etsiit - Despacho Dirección,https://etsiit.ugr.es/la-escuela/directorio-personal/jesus-garcia-miranda
Francisco Miguel García Olmedo,Departamento de Álgebra,Grado en Ingeniería Informática: Lógica y Programación  (Especialidad Ingeniería Software); Grado en Ingeniería Informática: Seguridad y Protección de Sistemas Informáticos (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Seguridad y Protección de Sistemas Informáticos (Optativa Especialidad Tecnologías de la Información); Grado en Ingeniería Informática y Matemáticas: Lógica y Métodos Discretos,Primer semestreDíaHorarioLugarMartes17:30 - 20:30Fac. Ciencias - Desp.02Viernes18:30 - 21:30Fac. Ciencias - Desp.02Segundo semestreDíaHorarioLugarMartes17:30 - 20:30Fac. Ciencias - Desp.02Viernes18:30 - 21:30Fac. Ciencias - Desp.02,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-miguel-garcia-olmedo
